window,cluster,num_texts,emotions
0,-1,200,"{'sadness': 71, 'joy': 63, 'optimism': 55, 'anger': 11}"
1,-1,200,"{'optimism': 61, 'joy': 57, 'sadness': 74, 'anger': 8}"
2,-1,200,"{'joy': 59, 'optimism': 62, 'sadness': 72, 'anger': 7}"
3,-1,177,"{'optimism': 49, 'sadness': 74, 'joy': 44, 'anger': 10}"
3,0,13,"{'optimism': 6, 'sadness': 5, 'joy': 2}"
3,1,10,"{'optimism': 7, 'joy': 2, 'sadness': 1}"
4,-1,173,"{'sadness': 73, 'anger': 11, 'optimism': 59, 'joy': 30}"
4,0,15,"{'sadness': 6, 'anger': 2, 'joy': 2, 'optimism': 5}"
4,1,12,"{'optimism': 2, 'sadness': 6, 'anger': 2, 'joy': 2}"
5,-1,200,"{'optimism': 68, 'sadness': 81, 'anger': 11, 'joy': 40}"
6,-1,200,"{'optimism': 70, 'joy': 42, 'anger': 12, 'sadness': 76}"
7,-1,200,"{'optimism': 68, 'joy': 49, 'sadness': 73, 'anger': 10}"
8,-1,200,"{'joy': 53, 'sadness': 73, 'anger': 10, 'optimism': 64}"
9,-1,200,"{'optimism': 63, 'sadness': 79, 'anger': 12, 'joy': 46}"
10,-1,177,"{'sadness': 73, 'joy': 45, 'optimism': 46, 'anger': 13}"
10,0,10,"{'optimism': 8, 'joy': 1, 'sadness': 1}"
10,1,13,"{'joy': 4, 'optimism': 6, 'anger': 1, 'sadness': 2}"
11,-1,200,"{'optimism': 69, 'joy': 49, 'sadness': 68, 'anger': 14}"
12,-1,200,"{'optimism': 67, 'sadness': 77, 'joy': 45, 'anger': 11}"
13,-1,200,"{'joy': 43, 'sadness': 86, 'optimism': 56, 'anger': 15}"
14,-1,200,"{'joy': 50, 'optimism': 49, 'sadness': 88, 'anger': 13}"
15,-1,200,"{'sadness': 84, 'optimism': 52, 'joy': 52, 'anger': 12}"
16,-1,200,"{'optimism': 59, 'anger': 14, 'sadness': 86, 'joy': 41}"
17,-1,200,"{'joy': 49, 'sadness': 78, 'anger': 13, 'optimism': 60}"
18,-1,200,"{'optimism': 71, 'sadness': 63, 'joy': 49, 'anger': 17}"
19,-1,200,"{'optimism': 71, 'sadness': 69, 'joy': 41, 'anger': 19}"
20,-1,200,"{'joy': 44, 'sadness': 69, 'anger': 19, 'optimism': 68}"
21,-1,200,"{'sadness': 75, 'anger': 15, 'joy': 41, 'optimism': 69}"
22,-1,200,"{'optimism': 51, 'joy': 45, 'sadness': 87, 'anger': 17}"
23,-1,200,"{'sadness': 80, 'optimism': 49, 'joy': 53, 'anger': 18}"
24,-1,200,"{'joy': 43, 'sadness': 75, 'optimism': 63, 'anger': 19}"
25,-1,200,"{'sadness': 76, 'joy': 43, 'anger': 18, 'optimism': 63}"
26,-1,200,"{'optimism': 59, 'joy': 49, 'sadness': 75, 'anger': 17}"
27,-1,200,"{'sadness': 76, 'anger': 18, 'optimism': 59, 'joy': 47}"
28,-1,200,"{'anger': 15, 'joy': 51, 'sadness': 81, 'optimism': 53}"
29,-1,200,"{'anger': 13, 'sadness': 82, 'joy': 56, 'optimism': 49}"
30,-1,170,"{'sadness': 71, 'joy': 46, 'optimism': 45, 'anger': 8}"
30,0,10,"{'sadness': 6, 'optimism': 2, 'joy': 1, 'anger': 1}"
30,1,20,"{'joy': 5, 'sadness': 7, 'optimism': 7, 'anger': 1}"
31,-1,200,"{'joy': 45, 'optimism': 57, 'sadness': 85, 'anger': 13}"
32,-1,200,"{'joy': 41, 'anger': 20, 'optimism': 55, 'sadness': 84}"
33,-1,200,"{'joy': 44, 'optimism': 56, 'sadness': 80, 'anger': 20}"
34,-1,200,"{'joy': 51, 'optimism': 54, 'sadness': 81, 'anger': 14}"
35,-1,200,"{'sadness': 85, 'joy': 47, 'optimism': 57, 'anger': 11}"
36,-1,200,"{'sadness': 91, 'anger': 10, 'joy': 40, 'optimism': 59}"
37,-1,200,"{'anger': 11, 'sadness': 83, 'optimism': 61, 'joy': 45}"
38,-1,200,"{'optimism': 76, 'sadness': 71, 'joy': 44, 'anger': 9}"
39,-1,200,"{'sadness': 82, 'joy': 37, 'optimism': 72, 'anger': 9}"
40,-1,200,"{'joy': 42, 'optimism': 58, 'anger': 10, 'sadness': 90}"
41,-1,170,"{'anger': 10, 'sadness': 80, 'joy': 38, 'optimism': 42}"
41,0,10,"{'sadness': 3, 'optimism': 4, 'joy': 3}"
41,1,20,"{'anger': 1, 'sadness': 8, 'joy': 5, 'optimism': 6}"
42,-1,200,"{'sadness': 82, 'optimism': 55, 'joy': 50, 'anger': 13}"
43,-1,200,"{'optimism': 71, 'sadness': 70, 'joy': 45, 'anger': 14}"
44,-1,200,"{'optimism': 69, 'joy': 44, 'sadness': 71, 'anger': 16}"
45,-1,200,"{'joy': 57, 'sadness': 71, 'optimism': 54, 'anger': 18}"
46,-1,200,"{'joy': 57, 'anger': 14, 'sadness': 67, 'optimism': 62}"
47,-1,200,"{'optimism': 70, 'anger': 10, 'sadness': 75, 'joy': 45}"
48,-1,200,"{'joy': 40, 'sadness': 80, 'optimism': 66, 'anger': 14}"
49,-1,200,"{'sadness': 83, 'joy': 40, 'anger': 18, 'optimism': 59}"
50,-1,200,"{'sadness': 84, 'anger': 16, 'optimism': 53, 'joy': 47}"
51,-1,200,"{'sadness': 77, 'joy': 55, 'optimism': 49, 'anger': 19}"
52,-1,200,"{'anger': 17, 'joy': 53, 'optimism': 55, 'sadness': 75}"
53,-1,200,"{'joy': 46, 'optimism': 60, 'sadness': 79, 'anger': 15}"
54,-1,200,"{'sadness': 78, 'optimism': 53, 'joy': 52, 'anger': 17}"
55,-1,200,"{'optimism': 54, 'sadness': 74, 'joy': 53, 'anger': 19}"
56,-1,200,"{'optimism': 52, 'sadness': 81, 'joy': 50, 'anger': 17}"
57,-1,200,"{'anger': 13, 'sadness': 78, 'optimism': 58, 'joy': 51}"
58,-1,178,"{'optimism': 57, 'joy': 40, 'sadness': 66, 'anger': 15}"
58,0,12,"{'sadness': 5, 'optimism': 5, 'joy': 1, 'anger': 1}"
58,1,10,"{'joy': 5, 'optimism': 4, 'sadness': 1}"
59,-1,200,"{'sadness': 69, 'joy': 47, 'optimism': 64, 'anger': 20}"
60,-1,200,"{'sadness': 79, 'optimism': 56, 'joy': 43, 'anger': 22}"
61,-1,200,"{'anger': 13, 'sadness': 92, 'joy': 37, 'optimism': 58}"
62,-1,200,"{'joy': 39, 'sadness': 85, 'optimism': 66, 'anger': 10}"
63,-1,200,"{'sadness': 80, 'optimism': 60, 'joy': 45, 'anger': 15}"
64,-1,200,"{'joy': 42, 'sadness': 79, 'optimism': 62, 'anger': 17}"
65,-1,200,"{'optimism': 64, 'sadness': 73, 'joy': 42, 'anger': 21}"
66,-1,200,"{'anger': 20, 'optimism': 62, 'sadness': 71, 'joy': 47}"
67,-1,200,"{'optimism': 60, 'anger': 19, 'joy': 41, 'sadness': 80}"
68,-1,200,"{'joy': 36, 'optimism': 70, 'sadness': 78, 'anger': 16}"
69,-1,200,"{'sadness': 71, 'optimism': 65, 'anger': 12, 'joy': 52}"
70,-1,200,"{'joy': 59, 'sadness': 74, 'optimism': 52, 'anger': 15}"
71,-1,200,"{'optimism': 57, 'anger': 12, 'sadness': 77, 'joy': 54}"
72,-1,168,"{'joy': 40, 'optimism': 44, 'sadness': 72, 'anger': 12}"
72,0,10,"{'sadness': 5, 'anger': 1, 'optimism': 1, 'joy': 3}"
72,1,22,"{'joy': 4, 'sadness': 11, 'optimism': 5, 'anger': 2}"
73,-1,200,"{'anger': 22, 'joy': 42, 'sadness': 75, 'optimism': 61}"
74,-1,200,"{'anger': 17, 'optimism': 68, 'sadness': 68, 'joy': 47}"
75,-1,200,"{'anger': 12, 'joy': 48, 'sadness': 82, 'optimism': 58}"
76,-1,200,"{'joy': 46, 'sadness': 79, 'optimism': 59, 'anger': 16}"
77,-1,200,"{'optimism': 54, 'joy': 41, 'sadness': 85, 'anger': 20}"
78,-1,200,"{'optimism': 54, 'sadness': 91, 'anger': 17, 'joy': 38}"
79,-1,200,"{'joy': 46, 'optimism': 57, 'sadness': 86, 'anger': 11}"
80,-1,200,"{'joy': 45, 'anger': 21, 'sadness': 88, 'optimism': 46}"
81,-1,200,"{'sadness': 85, 'anger': 24, 'joy': 38, 'optimism': 53}"
82,-1,200,"{'optimism': 55, 'joy': 42, 'anger': 12, 'sadness': 91}"
83,-1,200,"{'optimism': 47, 'sadness': 93, 'joy': 45, 'anger': 15}"
84,-1,200,"{'sadness': 68, 'optimism': 62, 'joy': 54, 'anger': 16}"
85,-1,200,"{'optimism': 68, 'joy': 52, 'sadness': 65, 'anger': 15}"
86,-1,200,"{'sadness': 79, 'optimism': 58, 'joy': 48, 'anger': 15}"
87,-1,200,"{'sadness': 83, 'optimism': 46, 'joy': 55, 'anger': 16}"
88,-1,200,"{'sadness': 83, 'anger': 17, 'optimism': 52, 'joy': 48}"
89,-1,200,"{'optimism': 59, 'joy': 47, 'sadness': 83, 'anger': 11}"
90,-1,200,"{'joy': 60, 'optimism': 50, 'sadness': 83, 'anger': 7}"
91,-1,200,"{'sadness': 80, 'optimism': 57, 'joy': 53, 'anger': 10}"
92,-1,200,"{'sadness': 75, 'optimism': 66, 'joy': 46, 'anger': 13}"
93,-1,200,"{'sadness': 63, 'joy': 50, 'optimism': 67, 'anger': 20}"
94,-1,200,"{'joy': 42, 'anger': 25, 'optimism': 73, 'sadness': 60}"
95,-1,200,"{'joy': 38, 'optimism': 70, 'anger': 16, 'sadness': 76}"
96,-1,200,"{'sadness': 87, 'joy': 45, 'optimism': 61, 'anger': 7}"
97,-1,200,"{'sadness': 81, 'joy': 48, 'optimism': 59, 'anger': 12}"
98,-1,200,"{'sadness': 73, 'joy': 47, 'optimism': 59, 'anger': 21}"
99,-1,200,"{'optimism': 58, 'joy': 46, 'sadness': 75, 'anger': 21}"
100,-1,200,"{'anger': 14, 'joy': 48, 'sadness': 79, 'optimism': 59}"
101,-1,200,"{'sadness': 84, 'optimism': 56, 'joy': 47, 'anger': 13}"
102,-1,200,"{'sadness': 83, 'optimism': 59, 'joy': 46, 'anger': 12}"
103,-1,200,"{'sadness': 83, 'optimism': 63, 'joy': 49, 'anger': 5}"
104,-1,200,"{'joy': 46, 'sadness': 79, 'optimism': 66, 'anger': 9}"
105,-1,200,"{'anger': 13, 'joy': 48, 'optimism': 64, 'sadness': 75}"
106,-1,200,"{'optimism': 49, 'sadness': 75, 'joy': 61, 'anger': 15}"
107,-1,200,"{'sadness': 72, 'joy': 55, 'optimism': 59, 'anger': 14}"
108,-1,173,"{'joy': 42, 'sadness': 63, 'optimism': 56, 'anger': 12}"
108,0,11,"{'sadness': 6, 'joy': 1, 'optimism': 4}"
108,1,16,"{'optimism': 4, 'sadness': 7, 'joy': 5}"
109,-1,200,"{'optimism': 57, 'joy': 50, 'sadness': 80, 'anger': 13}"
110,-1,200,"{'sadness': 76, 'joy': 49, 'optimism': 60, 'anger': 15}"
111,-1,200,"{'optimism': 63, 'anger': 18, 'sadness': 67, 'joy': 52}"
112,-1,127,"{'anger': 10, 'sadness': 40, 'optimism': 43, 'joy': 34}"
113,-1,27,"{'sadness': 10, 'joy': 8, 'optimism': 8, 'anger': 1}"
